[compile] four-rank GABLS1 y-slab ready in 13.045s
step=13200 time=2.8943/9h CFL=0.7000 CFLnu=0.0559 divL2=1.692e-04 Q0=-6.080e-03 theta_budget=2.843e-08
step=13300 time=2.9140/9h CFL=0.7000 CFLnu=0.0586 divL2=1.674e-04 Q0=-6.358e-03 theta_budget=6.670e-08
step=13400 time=2.9337/9h CFL=0.7000 CFLnu=0.0454 divL2=1.673e-04 Q0=-6.630e-03 theta_budget=5.430e-08
step=13500 time=2.9533/9h CFL=0.7000 CFLnu=0.0635 divL2=1.668e-04 Q0=-6.817e-03 theta_budget=7.310e-09
step=13600 time=2.9726/9h CFL=0.7000 CFLnu=0.0493 divL2=1.664e-04 Q0=-7.053e-03 theta_budget=9.705e-09
step=13700 time=2.9919/9h CFL=0.7000 CFLnu=0.0711 divL2=1.687e-04 Q0=-7.033e-03 theta_budget=2.632e-08
step=13800 time=3.0112/9h CFL=0.7000 CFLnu=0.0558 divL2=1.665e-04 Q0=-6.989e-03 theta_budget=3.311e-08
step=13900 time=3.0304/9h CFL=0.7000 CFLnu=0.0508 divL2=1.675e-04 Q0=-7.063e-03 theta_budget=6.648e-08
step=14000 time=3.0496/9h CFL=0.7000 CFLnu=0.0596 divL2=1.648e-04 Q0=-7.187e-03 theta_budget=8.673e-08
step=14100 time=3.0688/9h CFL=0.7000 CFLnu=0.0636 divL2=1.665e-04 Q0=-7.391e-03 theta_budget=7.254e-09
step=14200 time=3.0878/9h CFL=0.7000 CFLnu=0.0552 divL2=1.673e-04 Q0=-7.687e-03 theta_budget=9.240e-08
step=14300 time=3.1066/9h CFL=0.7000 CFLnu=0.0524 divL2=1.662e-04 Q0=-7.878e-03 theta_budget=1.085e-07
step=14400 time=3.1253/9h CFL=0.7000 CFLnu=0.0696 divL2=1.665e-04 Q0=-7.809e-03 theta_budget=2.706e-08
step=14500 time=3.1443/9h CFL=0.7000 CFLnu=0.0508 divL2=1.669e-04 Q0=-7.720e-03 theta_budget=5.108e-08
step=14600 time=3.1628/9h CFL=0.7000 CFLnu=0.0503 divL2=1.667e-04 Q0=-7.725e-03 theta_budget=6.118e-08
step=14700 time=3.1810/9h CFL=0.7000 CFLnu=0.0544 divL2=1.667e-04 Q0=-7.578e-03 theta_budget=5.532e-09
step=14800 time=3.1988/9h CFL=0.7000 CFLnu=0.0505 divL2=1.676e-04 Q0=-7.561e-03 theta_budget=2.309e-08
step=14900 time=3.2165/9h CFL=0.7000 CFLnu=0.0628 divL2=1.689e-04 Q0=-7.597e-03 theta_budget=9.395e-09
step=15000 time=3.2347/9h CFL=0.7000 CFLnu=0.0593 divL2=1.675e-04 Q0=-7.706e-03 theta_budget=5.500e-08
step=15100 time=3.2529/9h CFL=0.7000 CFLnu=0.0679 divL2=1.662e-04 Q0=-7.704e-03 theta_budget=8.872e-08
step=15200 time=3.2716/9h CFL=0.7000 CFLnu=0.0565 divL2=1.668e-04 Q0=-7.971e-03 theta_budget=2.068e-07
step=15300 time=3.2906/9h CFL=0.7000 CFLnu=0.0594 divL2=1.637e-04 Q0=-8.274e-03 theta_budget=2.607e-08
