Generating Mann box [4096, 64, 128]; advection=3.3108 m/s, period=115.984 s
Measured mean/TI profiles calibrated; constructing open AD-BEM simulation
step=45760 time=57.2s CFL=0.3628
step=45860 time=57.325s CFL=0.3745
step=45960 time=57.45s CFL=0.3457
step=46000 time=57.5s CFL=0.3551
step=46080 time=57.6s CFL=0.3528
step=46180 time=57.725s CFL=0.347
step=46280 time=57.85s CFL=0.3389
step=46380 time=57.975s CFL=0.3553
step=46480 time=58.1s CFL=0.3632
step=46580 time=58.225s CFL=0.3887
step=46680 time=58.35s CFL=0.3285
step=46780 time=58.475s CFL=0.3235
step=46800 time=58.5s CFL=0.3226
step=46900 time=58.625s CFL=0.329
step=47000 time=58.75s CFL=0.3435
step=47100 time=58.875s CFL=0.3567
step=47200 time=59s CFL=0.3609
step=47300 time=59.125s CFL=0.3458
step=47400 time=59.25s CFL=0.3436
step=47500 time=59.375s CFL=0.3451
step=47520 time=59.4s CFL=0.3536
step=47620 time=59.525s CFL=0.3724
step=47720 time=59.65s CFL=0.3694
step=47820 time=59.775s CFL=0.3476
step=47920 time=59.9s CFL=0.3431
step=48000 time=60s CFL=0.3389
step=48100 time=60.125s CFL=0.339
step=48200 time=60.25s CFL=0.3542
step=48240 time=60.3s CFL=0.3821
step=48340 time=60.425s CFL=0.3641
step=48440 time=60.55s CFL=0.3671
step=48540 time=60.675s CFL=0.3653
step=48640 time=60.8s CFL=0.3466
step=48740 time=60.925s CFL=0.3655
step=48840 time=61.05s CFL=0.3551
step=48940 time=61.175s CFL=0.3528
step=48960 time=61.2s CFL=0.3488
step=49060 time=61.325s CFL=0.35
step=49160 time=61.45s CFL=0.3641
step=49260 time=61.575s CFL=0.3798
step=49360 time=61.7s CFL=0.357
step=49460 time=61.825s CFL=0.3522
step=49560 time=61.95s CFL=0.3547
step=49660 time=62.075s CFL=0.3523
step=49680 time=62.1s CFL=0.3463
step=49780 time=62.225s CFL=0.3556
step=49880 time=62.35s CFL=0.3433
step=49980 time=62.475s CFL=0.3301
step=50000 time=62.5s CFL=0.3341
step=50100 time=62.625s CFL=0.3353
step=50200 time=62.75s CFL=0.3316
step=50300 time=62.875s CFL=0.3192
step=50400 time=63s CFL=0.3189
step=50500 time=63.125s CFL=0.3081
step=50600 time=63.25s CFL=0.3098
step=50700 time=63.375s CFL=0.3135
step=50800 time=63.5s CFL=0.3091
step=50900 time=63.625s CFL=0.3007
step=51000 time=63.75s CFL=0.3095
step=51100 time=63.875s CFL=0.3142
step=51120 time=63.9s CFL=0.3151
step=51220 time=64.025s CFL=0.3211
step=51320 time=64.15s CFL=0.3103
step=51420 time=64.275s CFL=0.3352
step=51520 time=64.4s CFL=0.3132
step=51620 time=64.525s CFL=0.3196
step=51720 time=64.65s CFL=0.3294
step=51820 time=64.775s CFL=0.3198
step=51840 time=64.8s CFL=0.3191
step=51940 time=64.925s CFL=0.3334
step=52000 time=65s CFL=0.3267
step=52100 time=65.125s CFL=0.3188
step=52200 time=65.25s CFL=0.336
step=52300 time=65.375s CFL=0.3137
step=52400 time=65.5s CFL=0.3156
step=52500 time=65.625s CFL=0.3281
step=52560 time=65.7s CFL=0.3347
step=52660 time=65.825s CFL=0.3358
step=52760 time=65.95s CFL=0.3431
step=52860 time=66.075s CFL=0.34
step=52960 time=66.2s CFL=0.3529
step=53060 time=66.325s CFL=0.3417
step=53160 time=66.45s CFL=0.3513
step=53260 time=66.575s CFL=0.321
step=53280 time=66.6s CFL=0.3204
step=53380 time=66.725s CFL=0.3379
step=53480 time=66.85s CFL=0.365
step=53580 time=66.975s CFL=0.3408
step=53680 time=67.1s CFL=0.3631
step=53780 time=67.225s CFL=0.3576
step=53880 time=67.35s CFL=0.368
step=53980 time=67.475s CFL=0.3883
step=54000 time=67.5s CFL=0.3776
step=54100 time=67.625s CFL=0.3438
step=54200 time=67.75s CFL=0.3698
step=54300 time=67.875s CFL=0.3488
step=54400 time=68s CFL=0.3451
step=54500 time=68.125s CFL=0.3473
step=54600 time=68.25s CFL=0.3509
step=54700 time=68.375s CFL=0.3377
step=54720 time=68.4s CFL=0.3406
step=54820 time=68.525s CFL=0.3651
step=54920 time=68.65s CFL=0.3619
step=55020 time=68.775s CFL=0.3415
step=55120 time=68.9s CFL=0.3274
step=55220 time=69.025s CFL=0.362
step=55320 time=69.15s CFL=0.3741
step=55420 time=69.275s CFL=0.3695
step=55440 time=69.3s CFL=0.3639
step=55540 time=69.425s CFL=0.3701
step=55640 time=69.55s CFL=0.3466
step=55740 time=69.675s CFL=0.3446
step=55840 time=69.8s CFL=0.3396
step=55940 time=69.925s CFL=0.3391
step=56000 time=70s CFL=0.3459
step=56100 time=70.125s CFL=0.3555
step=56160 time=70.2s CFL=0.359
step=56260 time=70.325s CFL=0.3438
step=56360 time=70.45s CFL=0.3407
step=56460 time=70.575s CFL=0.3512
step=56560 time=70.7s CFL=0.3306
step=56660 time=70.825s CFL=0.3263
step=56760 time=70.95s CFL=0.3351
step=56860 time=71.075s CFL=0.3214
step=56880 time=71.1s CFL=0.3171
step=56980 time=71.225s CFL=0.3261
step=57080 time=71.35s CFL=0.3443
step=57180 time=71.475s CFL=0.3399
step=57280 time=71.6s CFL=0.3535
step=57380 time=71.725s CFL=0.3612
step=57480 time=71.85s CFL=0.3281
step=57580 time=71.975s CFL=0.36
step=57600 time=72s CFL=0.3578
step=57700 time=72.125s CFL=0.3585
step=57800 time=72.25s CFL=0.3727
step=57900 time=72.375s CFL=0.3527
step=58000 time=72.5s CFL=0.3395
step=58100 time=72.625s CFL=0.3519
step=58200 time=72.75s CFL=0.3475
step=58300 time=72.875s CFL=0.3366
step=58320 time=72.9s CFL=0.3414
step=58420 time=73.025s CFL=0.3438
step=58520 time=73.15s CFL=0.3459
step=58620 time=73.275s CFL=0.3448
step=58720 time=73.4s CFL=0.3516
step=58820 time=73.525s CFL=0.3311
step=58920 time=73.65s CFL=0.3461
step=59020 time=73.775s CFL=0.3427
step=59040 time=73.8s CFL=0.3374
step=59140 time=73.925s CFL=0.3268
step=59240 time=74.05s CFL=0.322
step=59340 time=74.175s CFL=0.3247
step=59440 time=74.3s CFL=0.3227
step=59540 time=74.425s CFL=0.3162
step=59640 time=74.55s CFL=0.3373
step=59740 time=74.675s CFL=0.3082
step=59760 time=74.7s CFL=0.3165
step=59860 time=74.825s CFL=0.3162
step=59960 time=74.95s CFL=0.3094
step=60000 time=75s CFL=0.3105
step=60100 time=75.125s CFL=0.3058
step=60200 time=75.25s CFL=0.3092
step=60300 time=75.375s CFL=0.3057
step=60400 time=75.5s CFL=0.3084
step=60480 time=75.6s CFL=0.334
step=60580 time=75.725s CFL=0.3241
step=60680 time=75.85s CFL=0.3046
step=60780 time=75.975s CFL=0.3022
step=60880 time=76.1s CFL=0.3075
step=60980 time=76.225s CFL=0.3055
step=61080 time=76.35s CFL=0.3226
step=61180 time=76.475s CFL=0.3282
step=61200 time=76.5s CFL=0.3239
step=61300 time=76.625s CFL=0.3068
step=61400 time=76.75s CFL=0.3226
step=61500 time=76.875s CFL=0.3191
step=61600 time=77s CFL=0.3151
step=61700 time=77.125s CFL=0.3076
step=61800 time=77.25s CFL=0.3013
step=61900 time=77.375s CFL=0.3099
step=61920 time=77.4s CFL=0.3078
step=62000 time=77.5s CFL=0.312
step=62100 time=77.625s CFL=0.3229
step=62200 time=77.75s CFL=0.3223
step=62300 time=77.875s CFL=0.3242
step=62400 time=78s CFL=0.3081
